pmid,first_author,year,title,journal,doi
24417585,Castroflorio,2014,Detection of sleep bruxism: comparison between an electromyographic and electrocardiographic portable holter and polysomnography,J Oral Rehabil,10.1111/joor.12131
9493526,Gallo,1997,Reliability of scoring EMG orofacial events: polysomnography compared with ambulatory recordings,J Sleep Res,10.1111/j.1365-2869.1997.00259.x
31085074,Maeda,2020,Validity of single-channel masseteric electromyography by using an ultraminiature wearable electromyographic device for diagnosis of sleep bruxism,J Prosthodont Res,10.1016/j.jpor.2019.04.003
22668619,Mainieri,2012,Validation of the Bitestrip versus polysomnography in the diagnosis of patients with a clinical history of sleep bruxism,Oral Surg Oral Med Oral Pathol Oral Radiol,10.1016/j.oooo.2011.10.008
28513083,Miettinen,2018,Screen-printed ambulatory electrode set enables accurate diagnostics of sleep bruxism,J Sleep Res,10.1111/jsr.12536
35095085,Sakuma,2022,Comparison of the occurrence of sleep bruxism under accustomed conditions at home and under polysomnography conditions in a sleep laboratory,J Prosthodont Res,10.2186/jpr.JPR_D_21_00219
17618147,Shochat,2007,Validation of the BiteStrip screener for sleep bruxism,Oral Surg Oral Med Oral Pathol Oral Radiol Endod,10.1016/j.tripleo.2007.03.009
26527206,Stuginski-Barbosa,2016,Diagnostic validity of the use of a portable single-channel electromyography device for sleep bruxism,Sleep Breath,10.1007/s11325-015-1283-y
21707698,Yamaguchi,2012,Comparison of ambulatory and polysomnographic recording of jaw muscle activity during sleep in normal subjects,J Oral Rehabil,10.1111/j.1365-2842.2011.02232.x
36648354,Yanez-Regonesi,2023,Diagnostic accuracy of a portable device (Bruxoff) to measure sleep bruxism,J Oral Rehabil,10.1111/joor.13416
