pmid,first_author,year,title,journal,doi
20808113,Jaussent,2011,Insomnia symptoms in older adults: Associated factors and gender differences,American Journal of Geriatric Psychiatry,10.1097/JGP.0b013e3181e049b6
28364422,Campanini,2017,Mediterranean diet and changes in sleep duration and indicators of sleep quality in older adults,Sleep,10.1093/sleep/zsw083
30137563,Castro-Diehl,2018,Mediterranean diet pattern and sleep duration and insomnia symptoms in the Multi-Ethnic Study of Atherosclerosis,Sleep,10.1093/sleep/zsy158
30187649,Mamalaki,2018,Associations between the Mediterranean diet and sleep in older adults: Results from the Hellenic Longitudinal Investigation of Aging and Diet study,Geriatrics and Gerontology International,10.1111/ggi.13521
31035395,Godos,2019,Adherence to the Mediterranean Diet is Associated with Better Sleep Quality in Italian Adults,Nutrients,10.3390/nu11050976
30306634,Maraki,2019,Mediterranean diet adherence is related to reduced probability of prodromal Parkinson's disease,Movement Disorders,10.1002/mds.27489
31071943,van Egmond,2019,Association between Healthy Dietary Patterns and Self-Reported Sleep Disturbances in Older Men: The ULSAM Study,Nutrients,10.3390/nu11051029
32165704,Jurado-Fasoli,2020,Association between sleep quality and time with energy metabolism in sedentary adults,Scientific Reports,10.1038/s41598-020-61493-2
32817391,Molsberry,2020,Diet pattern and prodromal features of Parkinson disease,Neurology,10.1212/WNL.0000000000010523
32397621,Muscogiuri,2020,Sleep quality in obesity: Does adherence to the Mediterranean diet matter?,Nutrients,10.3390/nu12051364
31957658,Theorell-Haglöw,2020,Sleep duration is associated with healthy diet scores and meal patterns: Results from the population-based EpiHealth study,Journal of Clinical Sleep Medicine,10.5664/jcsm.8112
32947817,Zuraikat,2020,A Mediterranean Dietary Pattern Predicts Better Sleep Quality in US Women from the American Heart Association Go Red for Women Strategically Focused Research Network,Nutrients,10.3390/nu12092830
33892688,Kolokotroni,2021,Lifestyle habits of adults during the COVID-19 pandemic lockdown in Cyprus: Evidence from a cross-sectional study,BMC Public Health,10.1186/s12889-021-10863-0
34205057,Prete,2021,Changes in Lifestyle and Dietary Habits during COVID-19 Lockdown in Italy: Results of an Online Survey,Nutrients,10.3390/nu13061923
35056325,Zaidalkilani,2021,Arab women adherence to the Mediterranean diet and insomnia,Medicina,10.3390/medicina58010017
36540581,Georgiadi,2022,How Do Greeks Sleep? A Cross-Sectional Study among Indigenous and Minority Populations,Maedica,10.26574/maedica.2022.17.3.615
34942284,Gupta,2022,Associations between sleep duration and Mediterranean diet score in Costa Rican adults,Appetite,10.1016/j.appet.2021.105881
35248010,Rostami,2022,"Adherence to the MIND dietary pattern and sleep quality, sleep related outcomes and mental health in male adults: A cross-sectional study",BMC Psychiatry,10.1186/s12888-022-03816-3
32951762,Ingegnoli,2020,Adherence to Mediterranean diet and patient perception of rheumatoid arthritis,Complementary Therapies in Medicine,10.1016/j.ctim.2020.102519
33031478,Porciello,2020,Mediterranean diet and quality of life in women treated for breast cancer: A baseline analysis of DEDiCa multicentre trial,PLoS ONE,10.1371/journal.pone.0239803
33813674,Kechribari,2022,Association of adherence to the Mediterranean diet and physical activity habits with the presence of insomnia in patients with obstructive sleep apnea,Sleep and Breathing,10.1007/s11325-021-02351-x
36226971,Katz Sand,2023,Mediterranean diet is linked to less objective disability in multiple sclerosis,Multiple Sclerosis Journal,10.1177/13524585221127414
35512773,Lawrie,2023,Dietary Patterns and Nonmotor Symptoms in Parkinson's Disease: A Cross-Sectional Analysis,Journal of the American Nutrition Association,10.1080/07315724.2022.2056544
