pmid,first_author,year,title,journal,doi
12131930,Barreto,2002,Correlation of sleep macrostructure parameters and idiopathic epilepsies,Arquivos de neuro-psiquiatria,10.1590/s0004-282x2002000300002
27400071,Gogou,2016,Sleep respiratory parameters in children with idiopathic epilepsy: a cross-sectional study,Epilepsy Res,10.1016/j.eplepsyres.2016.06.015
,Hamdy,2019,Relationship between periodic limb movement and seizure recurrence in genetic generalized epilepsy,Egypt. J. Neurol. Psychiatr. Neurosurg.,10.1186/s41983-019-0069-8
32320932,Hamdy,2020,Rapid eye movement (REM) sleep and seizure control in idiopathic generalized epilepsy,Epilepsy Behav,10.1016/j.yebeh.2020.107064
24462228,Krishnan,2014,Altered polysomnographic profile in juvenile myoclonic epilepsy,Epilepsy Res,10.1016/j.eplepsyres.2013.12.007
15660775,Maganti,2005,Sleep architecture in children with idiopathic generalized epilepsy,Epilepsia,10.1111/j.0013-9580.2005.06804.x
29031745,Mekky,2017,Sleep architecture in patients with juvenile myoclonic epilepsy,Sleep Med,10.1016/j.sleep.2017.02.013
17275662,Myatchin,2007,Sleep spindle abnormalities in children with generalized spike-wave discharges,Pediatr Neurol,10.1016/j.pediatrneurol.2006.09.014
25643767,Nayak,2015,Lack of heart rate variability during apnea in patients with juvenile myoclonic epilepsy (JME),Sleep Breath,10.1007/s11325-015-1133-y
26847987,Nayak,2016,Effect of valproate on the sleep microstructure of juvenile myoclonic epilepsy patients - a cross-sectional CAP based study,Sleep Med,10.1016/j.sleep.2015.11.006
29161907,Nayak,2018,Heightened background cortical synchrony in patients with epilepsy: EEG phase synchrony analysis during awake and sleep stages using novel ensemble measure,Clin EEG Neurosci,10.1177/1550059417696559
23103316,Ramachandraiah,2012,"Interrelationship of sleep and juvenile myoclonic epilepsy (JME): a sleep questionnaire-, EEG-, and polysomnography (PSG)-based prospective case-control study",Epilepsy Behav,10.1016/j.yebeh.2012.08.009
28704743,Roshan,2017,Sleep abnormalities in juvenile myoclonic epilepsy-A sleep questionnaire and polysomnography based study,Seizure,10.1016/j.seizure.2017.06.021
,Saad,2019,Sleep architecture in patients with idiopathic epilepsy,Sleep.Vigilance,10.1007/s41782-019-00059-3
1547761,Terzano,1992,Effects of generalized interictal EEG discharges on sleep stability: assessment by means of cyclic alternating pattern,Epilepsia,10.1111/j.1528-1157.1992.tb02322.x
20653454,Hofstra,2010,Chronotypes and subjective sleep parameters in epilepsy patients: a large questionnaire study,Chronobiol Int,10.3109/07420528.2010.497234
26078488,Kendis,2015,Chronotypes in patients with epilepsy: does the type of epilepsy make a difference?,Behav Neurol,10.1155/2015/941354
22366052,Krishnan,2012,Sleep disturbances in juvenile myoclonic epilepsy: a sleep questionnaire-based study,Epilepsy Behav,10.1016/j.yebeh.2011.12.018
16352471,Maganti,2006,Excessive daytime sleepiness and sleep complaints among children with epilepsy,Epilepsy Behav,10.1016/j.yebeh.2005.11.002
27344501,Manni,2016,Circadian phase typing in idiopathic generalized epilepsy: dim light melatonin onset and patterns of melatonin secretion-Semicurve findings in adult patients,Epilepsy Behav,10.1016/j.yebeh.2016.05.019
28012415,Saraswati,2017,Comparing sleep profiles between patients with juvenile myoclonic epilepsy and symptomatic partial epilepsy: sleep questionnaire-based study,Epilepsy Behav,10.1016/j.yebeh.2016.10.009
25637104,Unterberger,2015,Sleep disorders and circadian rhythm in epilepsy revisited: a prospective controlled study,Sleep Med,10.1016/j.sleep.2014.09.021
