pmid,first_author,year,title,journal,doi
37908752,Li,2023,Sleep characteristics before assisted reproductive technology treatment predict reproductive outcomes: a prospective cohort study of Chinese infertile women,Frontiers in Endocrinology,10.3389/fendo.2023.1178396
35259255,Yao,2022,Associations of sleep characteristics with outcomes of IVF/ICSI treatment: a prospective cohort study,Human Reproduction,10.1093/humrep/deac040
34910749,Lim,2021,Obstructive sleep apnea increases risk of female infertility: A 14-year nationwide population-based study,PLOS ONE,10.1371/journal.pone.0260842
34013438,Yang,2022,Analysis of the proportion and clinical characteristics of obstructive sleep apnea in women with polycystic ovary syndrome,Sleep and Breathing,10.1007/s11325-021-02376-2
34374922,Pimolsri,2021,Objective sleep duration and timing predicts completion of in vitro fertilization cycle,Journal of Assisted Reproduction and Genetics,10.1007/s10815-021-02260-8
36480727,Ozcelik,2023,Evaluation of chronotype and sleep quality in infertile population and comparison with fertile population: a cross-sectional study,Journal of Psychosomatic Obstetrics and Gynaecology,10.1080/0167482X.2022.2148523
34949542,Philipsen,2022,"Sleep, psychological distress, and clinical pregnancy outcome in women and their partners undergoing in vitro or intracytoplasmic sperm injection fertility treatment",Sleep Health,10.1016/j.sleh.2021.10.011
32981061,Stocker,2021,Is sleep deficit associated with infertility and recurrent pregnancy losses? Results from a prospective cohort study,Acta Obstetricia et Gynecologica Scandinavica,10.1111/aogs.14008
34180998,Eisenberg,2021,Sleep Habits of Women With Infertility,Journal of Clinical Endocrinology and Metabolism,10.1210/clinem/dgab474
30987736,Willis,2019,"Female sleep patterns, shift work, and fecundability in a North American preconception cohort study",Fertility and Sterility,10.1016/j.fertnstert.2019.01.037
29136234,Wang,2018,NonApnea Sleep Disorder Increases the Risk of Subsequent Female Infertility-A Nationwide Population-Based Cohort Study,Sleep,10.1093/sleep/zsx186
32836186,Shi,2020,Female and male sleep duration in association with the probability of conception in two representative populations of reproductive age in US and China,Sleep Medicine,10.1016/j.sleep.2020.05.026
35620388,Liang,2022,Sleep Behavior and Self-Reported Infertility: A Cross-Sectional Analysis Among U.S. Women,Frontiers in Endocrinology,10.3389/fendo.2022.818567
36877353,Zhao,2023,Relationship between sleep disorders and female infertility among US reproductive-aged women,Sleep and Breathing,10.1007/s11325-023-02802-7
36586812,Freeman,2023,"Preconception sleep duration, sleep timing, and shift work in association with fecundability and live birth among women with a history of pregnancy loss",Fertility and Sterility,10.1016/j.fertnstert.2022.10.026
36435629,Liu,2023,The impact of sleep on in vitro fertilization embryo transfer outcomes: a prospective study,Fertility and Sterility,10.1016/j.fertnstert.2022.10.015
37593900,Zhang,2023,Effect of obstructive sleep apnea on in vitro fertilization outcomes in women with polycystic ovary syndrome,Journal of Clinical Sleep Medicine,10.5664/jcsm.10780
36609819,Ibrahim,2023,Sleep and obstructive sleep apnea in women with infertility,Sleep and Breathing,10.1007/s11325-022-02770-4
28366321,Goldstein,2017,Sleep in women undergoing in vitro fertilization: a pilot study,Sleep Medicine,10.1016/j.sleep.2016.11.003
