pmid,first_author,year,title,journal,doi
10220004,Parry,1999,Sleep EEG studies during early and late partial sleep deprivation in premenstrual dysphoric disorder and normal control subjects,Psychiatry Research,10.1016/s0165-1781(98)00128-0
22417163,Baker,2012,Perceived poor sleep quality in the absence of polysomnographic sleep disturbance in women with severe premenstrual syndrome,Journal of Sleep Research,10.1111/j.1365-2869.2012.01007.x
22749440,Shechter,2012,Nocturnal polysomnographic sleep across the menstrual cycle in premenstrual dysphoric disorder,Sleep Medicine,10.1016/j.sleep.2012.05.012
2616693,Parry,1989,"Longitudinal sleep EEG, temperature, and activity measurements across the menstrual cycle in patients with premenstrual depression and in age-matched controls",Psychiatry Research,10.1016/0165-1781(89)90020-6
17969462,Baker,2007,Sleep Quality and the Sleep Electroencephalogram in Women with Severe Premenstrual Syndrome,Sleep,10.1093/sleep/30.10.1283
17716275,Lamarche,2007,"Nocturnal sleep, daytime sleepiness, and napping among women with significant emotional/behavioral premenstrual symptoms",Journal of Sleep Research,10.1111/j.1365-2869.2007.00604.x
2244799,Parry,1990,Altered waveform of plasma nocturnal melatonin secretion in premenstrual depression,Archives of General Psychiatry,10.1001/archpsyc.1990.01810240059010
9104690,Parry,1997,Plasma melatonin circadian rhythms during the menstrual cycle and after light therapy in premenstrual dysphoric disorder and normal control subjects,Journal of Biological Rhythms,10.1177/074873049701200107
21721857,Parry,2011,"Reduced Phase-Advance of Plasma Melatonin after Bright Morning Light in the Luteal, but not Follicular, Menstrual Cycle Phase in Premenstrual Dysphoric Disorder: An Extended Study",Chronobiology International,10.3109/07420528.2011.567365
2255751,McIntyre,1990,Urinary 6-sulphatoxy melatonin levels within the menstrual cycle and in patients with premenstrual syndrome,Psychoneuroendocrinology,10.1016/0306-4530(90)90034-7
18789826,Parry,2008,"Late, but not early, wake therapy reduces morning plasma melatonin: relationship to mood in premenstrual dysphoric disorder",Psychiatry Research,10.1016/j.psychres.2007.11.017
20795885,Parry,2010,Increased Sensitivity to Light-Induced Melatonin Suppression in Premenstrual Dysphoric Disorder,Chronobiology International,10.3109/07420528.2010.503331
9376643,Parry,1997,Blunted phase-shift responses to morning bright light in premenstrual dysphoric disorder,Journal of Biological Rhythms,10.1177/074873049701200506
1897612,Severino,1991,High nocturnal body temperature in premenstrual syndrome and late luteal phase dysphoric disorder,American Journal of Psychiatry,10.1176/ajp.148.10.1329
3177000,Mauri,1988,Sleep in the premenstrual phase: a self-report study of PMS patients and normal controls,Acta Psychiatrica Scandinavica,10.1111/j.1600-0447.1988.tb06304.x
35226173,El Dahr,2022,Investigating biological rhythms disruptions across the menstrual cycle in women with comorbid bipolar disorder and premenstrual dysphoric disorder,Archives of Women's Mental Health,10.1007/s00737-022-01220-0
7803596,Parry,1994,Neuroendocrine effects of light therapy in late luteal phase dysphoric disorder,Biological Psychiatry,10.1016/0006-3223(94)91210-6
9104689,Parry,1997,Temperature circadian rhythms during the menstrual cycle and sleep deprivation in premenstrual dysphoric disorder and normal comparison subjects,Journal of Biological Rhythms,10.1177/074873049701200106
31357135,Beddig,2019,"Stress, mood, and cortisol during daily life in women with Premenstrual Dysphoric Disorder (PMDD)",Psychoneuroendocrinology,10.1016/j.psyneuen.2019.104372
11074230,Parry,2000,Cortisol circadian rhythms during the menstrual cycle and with sleep deprivation in premenstrual dysphoric disorder and normal control subjects,Biological Psychiatry,10.1016/s0006-3223(00)00876-3
34595778,Izakova,2021,Steroid stress hormone changes throughout the menstrual cycle: A rise in evening aldosterone concentration in early luteal phase precedes the symptoms of premenstrual syndrome,Journal of Neuroendocrinology,10.1111/jne.13043
2603926,Mortola,1989,Depressive episodes in premenstrual syndrome,American Journal of Obstetrics and Gynecology,10.1016/0002-9378(89)90950-2
23329007,Segebladh,2013,Allopregnanolone serum concentrations and diurnal cortisol secretion in women with premenstrual dysphoric disorder,Archives of Women's Mental Health,10.1007/s00737-013-0327-1
8771612,Parry,1996,Circadian rhythms of prolactin and thyroid-stimulating hormone during the menstrual cycle and early versus late sleep deprivation in premenstrual dysphoric disorder,Psychiatry Research,10.1016/0165-1781(96)02905-8
,Miura,2019,Daytime sleepiness in relation to gender and premenstrual symptoms in a sample of Japanese college students,Sleep and Biological Rhythms,10.1007/s41105-019-00236-x
