pmid,first_author,year,title,journal,doi
33452600,Schreiber KL,2021,Prediction of persistent pain severity and impact 12 Months after breast surgery using comprehensive preoperative assessment of biopsychosocial pain modulators,Ann Surg Oncol,10.1245/s10434-020-09479-2
33682177,Bjurstrom MF,2021,Preoperative sleep quality and adverse pain outcomes after total hip arthroplasty,Eur J Pain,10.1002/ejp.1761
30506023,Shim J,2018,Development of a clinical risk score for pain and function following total knee arthroplasty: results from the TRIO study,Rheumatol Adv Pract,10.1093/rap/rky021
19837554,Bogoch ER,2010,Increased tender point counts before and after total hip arthroplasty are associated with poorer outcomes but are not individually predictive,J Arthroplasty,10.1016/j.arth.2009.08.005
,Greco C,2017,Associations of psychosocial factors with chronic postsurgical pain following total knee arthroplasty,J Pain,10.1016/j.jpain.2017.02.258
,Soni A,2020,Sleep disturbance is associated with more severe pain and worse outcome following knee replacement surgery in patients with knee osteoarthritis,Br J Pain,
28916991,Kornilov N,2018,Higher physical activity and lower pain levels before surgery predict nonimprovement of knee pain 1 y after TKA,Sport Traumatol Arthrosc,10.1007/s00167-017-4713-5
31752947,Luo Z,2019,Preoperative sleep quality affects postoperative pain and function after total joint arthroplasty : a prospective cohort study,J Orthop Surg Res,10.1186/s13018-019-1446-9
26455403,Chen AF,2016,Prospective evaluation of sleep disturbances after total knee arthroplasty,J Arthroplasty,10.1016/j.arth.2015.07.044
,Schreiber KL,2016,Acute and subacute postoperative pain after partial and total mastectomy: prospective association with pyschophysical and psychosocial processing of pain,Anesth Analg,
,Schreiber K,2016,Acute and subacute postoperative pain after partial and total mastectomy: association with prospectively assessed psychosocial and psychophysical variables,J Pain,10.1016/j.jpain.2016.01.152
25791445,Cho CH,2015,Does rotator cuff repair improve psychologic status and quality of life in patients with rotator cuff tear? Clin Orthop Relat Res 2015;473(11):3494 e 500,Does rotator cuff repair improve psychologic status and quality of life in patients with rotator cuff tear? Clin Orthop Relat Res,10.1007/s11999-015-4258-1
,Walker J,2015,Pre- and post-operative sleep is associated with post-operative pain and functioning following total knee replacements,J Pain [Internet],10.1016/j.jpain.2015.01.268
,Gren E,2018,Does preoperative insomnia explain persistent pain after breast cancer treatments? J Sleep Res 2018;27:172 e 3,Does preoperative insomnia explain persistent pain after breast cancer treatments? J Sleep Res,
23182226,Miaskowski C,2012,Identification of patient subgroups and risk factors for persistent breast pain following breast cancer surgery,J Pain,10.1016/j.jpain.2012.09.013
,Hastie B,2013,Tick-Tock.genes working round the clock: associations with sleep and acute and chronic post-thoracotomy pain,J Pain,10.1016/j.jpain.2013.01.488
33085181,Getachew M,2021,High levels of preoperative pain and fatigue are red flags for moderate-to-severe pain 12 months after primary total knee arthroplasty: a cohort study,Musculoskeletal Care,10.1002/msc.1522
31337179,Rhon DI,2019,Comorbid insomnia and sleep apnea are associated with greater downstream health care utilization and chronic opioid use after arthroscopic hip surgery,Pain Physician,
30479746,Rhon DI,2018,Predictors of chronic prescription opioid use after orthopedic surgery: derivation of a clinical prediction rule,Perioperative Medicine,10.1186/s13741-018-0105-8
,Baeyens M,2019,Screening for psychosocial variables that predict chronic postsurgical pain,European Society of Regional Anesthesia,10.1136/rapm-2019-ESRAABS2019.418
,Bayman E,2017,A prospective study of predictors of chronic pain after thoracic surgery,J Pain,10.1016/j.jpain.2017.02.254
