pmid,first_author,year,title,journal,doi
18388205,Li AM,2008,Ambulatory blood pressure in children with obstructive sleep apnoea: a community based study,Thorax,10.1136/thx.2007.091132
14764433,Amin RS,2004,Twenty-fourhour ambulatory blood pressure in children with sleep-disordered breathing,Am J Respir Crit Care Med,10.1164/rccm.200309-1305OC
32209641,Chan KC,2020,Childhood OSA is an independent determinant of blood pressure in adulthood: longitudinal follow-up study,Thorax,10.1136/thoraxjnl-2019-213692
34160576,Fernandez-Mendoza J,2021,Association of pediatric obstructive sleep apnea with elevated blood pressure and orthostatic hypertension in adolescence,JAMA Cardiol,10.1001/jamacardio.2021.2003
18071053,Amin R,2008,Activity-adjusted 24-hour ambulatory blood pressure and cardiac remodeling in children with sleep disordered breathing,Hypertension,10.1161/HYPERTENSIONAHA.107.099762
18838624,Bixler EO,2008,Blood pressure associated with sleep-disordered breathing in a population sample of children,Hypertension,10.1161/HYPERTENSIONAHA.108.116756
32851326,Geng X,2019,Ambulatory blood pressure monitoring in children with obstructive sleep apnea syndrome,Pediatr Investig,10.1002/ped4.12163
21708802,Horne RS,2011,Elevated blood pressure during sleep and wake in children with sleepdisordered breathing,Pediatrics,10.1542/peds.2010-3431
20648668,Kaditis AG,2010,Correlation of urinary excretion of sodium with severity of sleep-disordered breathing in children: a preliminary study,Pediatr Pulmonol,10.1002/ppul.21285
27939257,Kang KT,2017,Comparisons of of /uniFB01 ce and 24hour ambulatory blood pressure monitoring in children with obstructive sleep apnea,J Pediatr,10.1016/j.jpeds.2016.11.032
19848356,O'Driscoll DM,2009,Acute cardiovascular changes with obstructive events in children with sleep disordered breathing,Sleep,10.1093/sleep/32.10.1265
21521626,O'Driscoll DM,2011,Increased sympathetic activity in children with obstructive sleep apnea: cardiovascular implications,Sleep Med,10.1016/j.sleep.2010.09.015
31927221,Horne RSC,2020,Are there gender differences in the severity and consequences of sleep disordered breathing in children?,Sleep Med,10.1016/j.sleep.2019.11.1249
19286627,McConnell K,2009,Baroreflex gain in children with obstructive sleep apnea,Am J Respir Crit Care Med,10.1164/rccm.200808-1324OC
